Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,860.000000,865.700012,844.150024,861.750000,796.129333,558193
2015-05-05,858.000000,883.400024,854.000000,879.049988,812.112061,1663346
2015-05-06,879.000000,879.000000,850.099976,858.200012,792.849731,1989322
2015-05-07,860.000000,871.750000,853.700012,866.250000,800.286621,982642
2015-05-08,875.700012,907.049988,854.500000,895.200012,827.032288,5244650
2015-05-11,899.799988,901.000000,862.200012,864.700012,798.854797,2712131
2015-05-12,867.000000,873.549988,841.650024,843.950012,779.684753,1837756
2015-05-13,850.099976,855.650024,827.099976,841.049988,777.005554,1842567
2015-05-14,842.799988,850.849976,831.000000,846.450012,781.994507,1458520
2015-05-15,848.000000,852.299988,840.099976,844.799988,780.470093,861417
2015-05-18,848.000000,854.900024,837.500000,852.700012,787.768616,794940
2015-05-19,852.400024,855.849976,841.250000,844.750000,780.424011,1115144
2015-05-20,847.200012,858.150024,846.000000,855.599976,790.447632,1051609
2015-05-21,856.400024,865.900024,848.049988,864.349976,798.531555,998351
2015-05-22,867.450012,868.849976,853.950012,863.750000,797.977112,1369038
2015-05-25,864.950012,864.950012,847.549988,852.450012,787.537598,642231
2015-05-26,855.000000,858.150024,845.950012,855.349976,790.216797,732655
2015-05-27,855.500000,860.000000,845.700012,857.700012,792.387878,530542
2015-05-28,858.700012,860.000000,842.349976,846.200012,781.763489,2062630
2015-05-29,847.500000,860.700012,843.099976,859.549988,794.096863,3787109
2015-06-01,859.549988,883.500000,852.450012,880.799988,813.728760,950336
2015-06-02,884.000000,884.650024,850.900024,852.750000,787.814758,928603
2015-06-03,853.000000,854.700012,828.599976,831.450012,768.136719,1074518
2015-06-04,833.500000,835.000000,820.049988,822.650024,760.006836,1273078
2015-06-05,821.599976,847.299988,816.349976,829.099976,765.965515,1564172
2015-06-08,828.000000,829.000000,809.000000,812.250000,750.398743,1108643
2015-06-09,807.000000,828.549988,806.099976,819.750000,757.327698,769058
2015-06-10,818.250000,825.000000,814.000000,820.450012,757.974243,959272
2015-06-11,820.000000,836.500000,816.000000,816.700012,754.509888,1263695
2015-06-12,813.349976,821.500000,810.849976,814.500000,752.477417,833644
2015-06-15,814.000000,827.450012,808.450012,821.750000,759.175354,626620
2015-06-16,818.099976,839.349976,817.299988,834.950012,771.370178,864766
2015-06-17,840.000000,868.849976,840.000000,862.049988,796.406494,2574818
2015-06-18,862.000000,868.000000,857.099976,862.599976,796.914673,1234051
2015-06-19,851.099976,864.900024,844.849976,857.700012,800.742493,1376406
2015-06-22,863.900024,876.000000,858.450012,873.450012,815.446472,1039509
2015-06-23,878.000000,879.799988,871.349976,875.700012,817.547058,741773
2015-06-24,877.500000,908.900024,877.000000,896.549988,837.012390,1812148
2015-06-25,888.549988,897.900024,879.099976,883.250000,824.595703,1257404
2015-06-26,884.000000,891.400024,875.000000,887.950012,828.983643,758668
2015-06-29,872.000000,905.000000,868.349976,900.400024,840.606873,1221747
2015-06-30,907.000000,923.099976,906.000000,916.700012,855.824280,2318253
2015-07-01,916.700012,926.000000,912.000000,918.299988,857.318237,1456248
2015-07-02,919.799988,929.200012,912.000000,923.450012,862.126099,962649
2015-07-03,922.000000,929.500000,917.049988,924.500000,863.106323,512931
2015-07-06,917.000000,930.000000,914.650024,927.450012,865.860474,595187
2015-07-07,921.599976,927.400024,915.599976,924.349976,862.966309,715696
2015-07-08,920.000000,944.000000,918.099976,927.650024,866.047241,1791894
2015-07-09,927.650024,934.799988,912.400024,921.549988,860.352295,1153644
2015-07-10,924.500000,924.500000,891.299988,900.250000,840.466736,2198242
2015-07-13,900.799988,914.500000,890.500000,910.700012,850.222900,1103160
2015-07-14,910.500000,929.099976,902.799988,927.299988,865.720459,662369
2015-07-15,927.000000,935.000000,920.349976,929.000000,867.307556,980533
2015-07-16,930.000000,939.500000,923.250000,936.849976,874.636230,667588
2015-07-17,937.049988,941.950012,922.250000,924.299988,862.919739,848156
2015-07-20,924.000000,931.500000,909.049988,913.099976,852.463440,738505
2015-07-21,915.000000,916.849976,871.099976,891.299988,832.111145,4915170
2015-07-22,894.000000,923.000000,891.150024,920.500000,859.372070,1433553
2015-07-23,919.000000,919.000000,895.200012,904.250000,844.201111,1049783
2015-07-24,905.000000,911.450012,897.599976,906.799988,846.581787,624104
2015-07-27,906.000000,910.150024,895.000000,900.099976,840.326660,1305606
2015-07-28,893.250000,916.000000,891.500000,904.750000,844.667847,1648693
2015-07-29,906.150024,919.049988,897.000000,899.200012,839.486572,1332413
2015-07-30,905.000000,934.450012,899.200012,920.700012,859.558838,1997547
2015-07-31,920.299988,928.200012,913.200012,921.650024,860.445679,1616033
2015-08-03,921.000000,924.799988,906.500000,909.700012,849.289185,1813626
2015-08-04,910.500000,914.450012,900.049988,908.099976,847.795410,2728548
2015-08-05,910.700012,912.849976,905.000000,908.599976,848.262207,2869226
2015-08-06,910.000000,910.400024,902.549988,907.750000,847.468750,1105175
2015-08-07,907.750000,909.049988,900.900024,904.849976,844.761230,849340
2015-08-10,905.000000,909.000000,901.000000,906.150024,845.974976,1089645
2015-08-11,903.000000,905.849976,885.000000,888.200012,829.216919,1430428
2015-08-12,889.000000,889.000000,859.599976,866.349976,808.818054,1406250
2015-08-13,866.000000,879.000000,850.000000,866.549988,809.004639,976700
2015-08-14,871.000000,879.000000,857.500000,870.549988,812.739075,742844
2015-08-17,874.450012,879.000000,860.000000,872.650024,814.699646,373170
2015-08-18,872.000000,877.849976,868.049988,872.849976,814.886292,606035
2015-08-19,869.349976,885.250000,861.400024,876.200012,818.013916,548163
2015-08-20,870.000000,901.849976,867.000000,872.049988,814.139404,1086427
2015-08-21,867.000000,888.000000,860.950012,884.150024,825.436035,1428246
2015-08-24,865.349976,880.000000,844.950012,851.150024,794.627502,2392818
2015-08-25,861.000000,878.000000,855.099976,865.950012,808.444580,2303018
2015-08-26,866.250000,868.549988,850.000000,855.000000,798.221741,1894521
2015-08-27,860.650024,864.450012,851.000000,857.799988,800.835754,2087603
2015-08-28,870.000000,870.500000,852.000000,854.500000,797.754944,1427528
2015-08-31,862.900024,870.000000,848.799988,860.900024,803.729797,1990625
2015-09-01,855.000000,861.349976,848.349976,853.750000,797.054688,1483369
2015-09-02,857.000000,862.400024,824.200012,830.599976,775.442017,1463479
2015-09-03,830.500000,841.750000,815.099976,833.750000,778.382935,1228866
2015-09-04,831.349976,840.750000,823.200012,830.000000,774.881897,1332041
2015-09-07,831.000000,834.000000,817.400024,819.849976,765.405884,868619
2015-09-08,827.799988,827.799988,785.000000,801.099976,747.901123,2511604
2015-09-09,806.000000,812.450012,790.900024,803.049988,749.721558,1519952
2015-09-10,801.000000,801.000000,777.599976,790.150024,737.678223,2651147
2015-09-11,792.000000,799.700012,784.049988,795.250000,742.439575,1368043
2015-09-14,800.900024,800.900024,788.099976,794.750000,741.972778,1115042
2015-09-15,794.750000,808.650024,791.150024,804.599976,751.168579,1239118
2015-09-16,811.000000,811.799988,796.750000,806.849976,753.269165,1000450
2015-09-18,807.000000,816.799988,793.000000,797.849976,744.866943,3196079
2015-09-21,795.000000,799.900024,788.400024,790.700012,738.191772,1097798
2015-09-22,792.000000,796.849976,783.200012,785.900024,733.710510,1900127
2015-09-23,788.799988,789.400024,780.150024,785.000000,732.870178,1108731
2015-09-24,789.000000,789.000000,776.250000,781.700012,729.789368,2627897
2015-09-28,785.000000,802.500000,780.799988,790.650024,738.145081,1121534
2015-09-29,782.599976,801.000000,781.349976,784.349976,732.263367,2377821
2015-09-30,799.799988,818.000000,787.000000,814.750000,760.644592,2321962
2015-10-01,817.799988,827.250000,811.200012,816.400024,762.185059,903859
2015-10-05,820.549988,824.000000,801.000000,809.799988,756.023315,1344972
2015-10-06,816.950012,832.000000,811.900024,829.299988,774.228333,1470601
2015-10-07,818.000000,828.000000,816.000000,823.549988,768.860229,1126929
2015-10-08,827.000000,831.950012,817.500000,821.900024,767.319824,673062
2015-10-09,826.000000,830.400024,810.000000,818.000000,763.678711,740404
2015-10-12,819.000000,822.500000,807.349976,814.849976,760.737915,760378
2015-10-13,817.000000,819.000000,805.799988,812.900024,758.917542,860797
2015-10-14,814.049988,815.000000,787.000000,797.200012,744.259949,3479601
